algorithm,dataset,number clusters,avg points/cluster,avg distance to center,avg distance between centers
ACO,airfoil,28,51.857142857142854,2282.003514788185,15837.572116084253
CL,airfoil,5,300.6,776.1222007912127,39368.31837292829
DB,airfoil,55,24.01818181818182,7.02839032145824,233678.0568581851
KM,airfoil,5,300.6,571.9316893117866,19692.04556819809
PSO,airfoil,5,300.6,1283.2339602072614,4828.47512385783
ACO,concrete,24,41.416666666666664,186.86657726334616,1438.7240805224146
CL,concrete,5,206.0,139.47701898859714,1155.3431923765215
DB,concrete,15,63.13333333333333,119.69006980148019,4129.170374687781
KM,concrete,5,206.0,130.79563357009445,1005.6287252951228
PSO,concrete,5,206.0,180.8357802805414,239.27590539524093
ACO,forestfires,13,38.53846153846154,213.410740720092,1210.820956953467
CL,forestfires,5,103.4,66.54305262834632,2526.280456641964
DB,forestfires,2,253.0,100.85396261527325,591.1032840255051
KM,forestfires,5,103.4,65.65047792078384,2488.8505597002295
PSO,forestfires,5,103.4,117.2195064866949,2050.870834251267
ACO,machine,8,24.875,8425.291162087371,120216.08310453093
CL,machine,5,41.8,2138.740512610062,119738.73672532153
DB,machine,7,27.285714285714285,1851.3993065998031,95116.80939208434
KM,machine,5,41.8,2926.583566916458,69424.12148000236
PSO,machine,5,41.8,8653.097400813254,11396.326391737452
ACO,yacht,6,50.0,11.781189726515263,25.3653574326206
CL,yacht,5,61.6,2.435694433537724,100.17295930488544
DB,yacht,4,74.0,3.2988623826288213,77.61874222386142
KM,yacht,5,61.6,2.4295325373605503,100.49198500331691
PSO,yacht,5,61.6,5.666329412761836,58.02800877765694
